iter	Passed	Remaining
0	1	144
1	2	134
2	3	127
3	4	119
4	6	121
5	7	120
6	9	120
7	10	119
8	11	118
9	12	115
10	14	113
11	15	111
12	16	109
13	17	108
14	18	106
15	20	105
16	21	104
17	22	103
18	24	102
19	25	101
20	26	100
21	27	98
22	28	96
23	29	94
24	31	93
25	32	92
26	33	90
27	34	89
28	35	88
29	37	87
30	38	86
31	40	85
32	41	83
33	42	82
34	43	81
35	45	80
36	46	78
37	47	77
38	48	76
39	49	74
40	50	73
41	51	70
42	52	69
43	53	67
44	54	66
45	55	65
46	56	63
47	57	62
48	58	60
49	59	59
50	60	57
51	60	56
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	70	39
64	71	38
65	72	37
66	73	36
67	74	34
68	75	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
